url,description,selected_route,selected_reason,risk_level,risk_tag,direct_ok,http_proxy_ok,socks5_ok,http_attempts,details
http://45.192.96.232,发卡后台-0227 http://45.192.96.232,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.01s) | direct=fail(3.01s:timed out)
http://182.120.228.34:81,发卡后台-0234 http://182.120.228.34:81,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(2.23s:[WinError 10061] 由于目标计算机积极拒绝，无法连接。)
http://zy.haobangya.cn,发卡后台-0235 http://zy.haobangya.cn,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.01s) | direct=fail(3.03s:timed out)
http://8.141.58.141:88,发卡后台-0237 http://8.141.58.141:88,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.00s:timed out) | socks5:127.0.0.1:7891=ok(0.01s) | direct=fail(3.01s:timed out)
http://154.64.244.128,发卡后台-0239 http://154.64.244.128,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.00s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(3.01s:timed out)
http://pay.gumouu.cn,发卡后台-0242 http://pay.gumouu.cn,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.02s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.01s) | direct=fail(3.02s:timed out)
http://8.138.166.160,发卡后台-0244 http://8.138.166.160,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(2.09s:[WinError 10061] 由于目标计算机积极拒绝，无法连接。)
http://182.120.228.5:81,发卡后台-0258 http://182.120.228.5:81,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.00s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(3.01s:timed out)
http://xpay.xblm.top,发卡后台-0266 http://xpay.xblm.top,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(0.00s:[Errno 11001] getaddrinfo failed)
http://182.120.230.11:81,发卡后台-0267 http://182.120.230.11:81,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(3.01s:timed out)
http://38.76.197.137:8081,发卡后台-0268 http://38.76.197.137:8081,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.00s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.01s:timed out) | socks5:127.0.0.1:7891=ok(0.01s) | direct=fail(3.01s:timed out)
http://222.139.151.216:8090,发卡后台-0269 http://222.139.151.216:8090,direct,auto 默认回退直连,medium,http_proxy_failed_but_socks_ok,False,False,True,"fail,fail,fail",http-proxy:127.0.0.1:7890#1=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#2=fail(3.01s:timed out) | http-proxy:127.0.0.1:7890#3=fail(3.00s:timed out) | socks5:127.0.0.1:7891=ok(0.00s) | direct=fail(3.01s:timed out)
