url,description,selected_route,selected_reason,risk_level,risk_tag,direct_ok,http_proxy_ok,socks5_ok,http_attempts,details
https://120.24.176.248,fofa-0057 https://120.24.176.248,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.07s)
http://116.62.109.246:88,fofa-0058 http://116.62.109.246:88,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.07s)
https://139.9.83.251,fofa-0059 https://139.9.83.251,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.16s)
http://47.106.105.35,fofa-0060 https://47.106.105.35,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.03s)
http://101.200.173.41:8021,fofa-0063 https://101.200.173.41:8021,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.17s)
http://8.137.157.80:8083,fofa-0064 https://8.137.157.80:8083,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.11s)
https://91yuanmawu.cn,fofa-0065 https://91yuanmawu.cn,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.86s)
https://60.247.153.83,fofa-0066 https://60.247.153.83,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.50s)
https://119.29.80.72,fofa-0067 https://119.29.80.72,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.08s)
https://39.100.123.118,fofa-0068 https://39.100.123.118,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.22s)
https://47.108.90.61,fofa-0069 https://47.108.90.61,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.31s)
http://123.57.36.112,fofa-0070 https://123.57.36.112,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.10s)
http://47.120.19.52,fofa-0071 https://47.120.19.52,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.17s)
https://180.76.187.187,fofa-0072 https://180.76.187.187,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.17s)
https://lelelelemax.me,fofa-0073 https://lelelelemax.me,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(1.67s)
https://43.156.38.11,fofa-0074 https://43.156.38.11,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.65s)
https://101.201.55.161,fofa-0075 https://101.201.55.161,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.16s)
https://8.137.168.183,fofa-0076 https://8.137.168.183,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.22s)
http://39.99.224.115,fofa-0077 https://39.99.224.115,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.14s)
http://47.95.42.41,fofa-0078 https://47.95.42.41,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.24s)
https://47.106.208.167,fofa-0079 https://47.106.208.167,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.63s)
https://8.208.9.126,fofa-0080 https://8.208.9.126,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(1.65s)
https://shop.biosciedit.cn,fofa-0081 https://shop.biosciedit.cn,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.70s)
https://121.43.105.23,fofa-0082 https://121.43.105.23,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.55s)
https://www.85lw.cn,fofa-0083 https://www.85lw.cn,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.32s)
https://42.193.148.68,fofa-0084 https://42.193.148.68,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.66s)
https://47.243.191.7,fofa-0085 https://47.243.191.7,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.25s)
http://106.54.42.215,fofa-0086 https://106.54.42.215,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.07s)
https://175.27.133.232,fofa-0088 https://175.27.133.232,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.16s)
https://www.guoruankao.com,fofa-0089 https://www.guoruankao.com,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.20s)
https://www.lw13.cn,fofa-0091 https://www.lw13.cn,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.27s)
https://essayoneedu.com,fofa-0092 https://essayoneedu.com,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.47s)
https://www.essayoneedu.com,fofa-0093 https://www.essayoneedu.com,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.16s)
https://www.highmarktutor.com,fofa-0096 https://www.highmarktutor.com,direct,直连可用，未启用代理探测,low,,True,,,,direct-http=ok(0.87s)
